"","IsWinner","track_id","artist_id","track_name","year","artist_name","genres","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"69","Winner","3JdToGxgvH9SnO1a605Ztr","1UUYAQ9LiRsZF0ZukQNWXM","Up, Up and Away",1967,"The 5th Dimension","adult standards",263614,0.599,0.393,163347,0.362,0,7,0.333,-14.601,0,107.743,5,0.515
"70","Nominee","4feXcsElKIVsGwkbnTHAfV","1Mxqyy3pSjf8kZZL4QVxS0","Somethin' Stupid",1967,"Frank Sinatra","adult standards",6304287,0.736,0.257,162493,0.338,0,4,0.252,-12.902,1,207.356,4,0.544
"71","Nominee","4feXcsElKIVsGwkbnTHAfV","3IZrrNonYELubLPJmqOci2","Somethin' Stupid",1967,"Nancy Sinatra","lounge",402519,0.736,0.257,162493,0.338,0,4,0.252,-12.902,1,207.356,4,0.544
"72","Nominee","4FdDorlbJTVHcH3djLbIfn","4E9w0bms6HcEppFlWjeW2d","Ode To Billie Joe",1967,"Bobbie Gentry","",61185,0.721,0.637,255002,0.189,0,7,0.0939,-10.726,1,120.142,4,0.695
"73","Nominee","40BvPdq2rwYIoioUgjKHoK","1iBpJEBrSFXCtPOc5OUZiY","My Cup Runneth Over",2001,"Ed Ames","easy listening",11619,0.801,0.344,164827,0.365,0.000509,7,0.0712,-9.628,1,100.79,3,0.359
"74","Nominee","1tZKsxgKebVQX9s6oiojG9","59hLmB5DrdihCYtNeFeW1U","By The Time I Get To Phoenix - Remastered 2001",1967,"Glen Campbell","adult standards",421153,0.0743,0.218,164200,0.336,1.61e-06,5,0.134,-12.997,1,176.66,4,0.232
"75","Nominee","6ppsYmPvK5Wp1QBdJyTc7s","0NAr5zThPfMx26ISgooQK6","Gentle On My Mind",1967,"John Hartford","banjo",39955,0.728,0.407,182840,0.401,0,0,0.0814,-12.928,1,197.706,4,0.4
"76","Winner","0iOZM63lendWRTTeKhZBSC","70cRZdQywnSFp9pnc2WTCE","Mrs. Robinson - From ""The Graduate"" Soundtrack",1968,"Simon & Garfunkel","classic rock",4637760,0.713,0.606,244027,0.457,2.53e-05,6,0.0747,-14.035,0,92.033,4,0.813
"77","Nominee","2Qhvi6R73Zj3cpzRYzcAww","5gPEo032lzARtzuVqJIm9o","Honey",1968,"Bobby Goldsboro","adult standards",128106,0.674,0.399,238733,0.278,0.000694,7,0.203,-13.122,1,93.189,4,0.597
"78","Nominee","2sZIclzhHlH8tzf7wry9hK","3MIwMeYV8vmgQFbbRiJTp2","Harper Valley P.T.A.",2013,"Jeannie C. Riley","classic country pop",67332,0.629,0.795,194400,0.448,0,4,0.0659,-13.427,1,122.318,4,0.96
"79","Nominee","0iOZM63lendWRTTeKhZBSC","70cRZdQywnSFp9pnc2WTCE","Mrs. Robinson - From ""The Graduate"" Soundtrack",1968,"Simon & Garfunkel","classic rock",4637760,0.713,0.606,244027,0.457,2.53e-05,6,0.0747,-14.035,0,92.033,4,0.813
"80","Winner","30jEnUWPJIt6zh25s2Kbh0","1RP2UpEaRzkF0Id3JigqD8","Little Green Apples - Single Version",1968,"Roger Miller","classic country pop",247807,0.867,0.507,156960,0.18,0.037,0,0.13,-18.607,1,102.275,4,0.42
"81","Nominee","0spSRHFS4zF4Imvz9sJcfL","24GaH9tRBgZjlvOhpFuKi2","Spinning Wheel",1968,"Blood, Sweat & Tears","album rock",559787,0.315,0.695,247267,0.503,2.47e-05,7,0.261,-9.313,1,96.818,4,0.542
"82","Nominee","5xMNjx7uqCzMpJZSo4Wq55","6kACVPfCOnqzgfEF5ryl0x","A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",1969,"Johnny Cash","arkansas country",5871805,0.77,0.63,233813,0.489,0,10,0.381,-12.144,1,101.876,4,0.796
"83","Nominee","1oOnOS4xNZOMpCT0lKTNo2","0uUNzXylqsZdmFDwdxaP1V","Raindrops Keep Fallin' on My Head - Rerecorded",2009,"B.J. Thomas","adult standards",214303,0.802,0.578,178147,0.434,0.00102,5,0.277,-10.865,1,106.364,4,0.75
"84","Nominee","1MHgV79MSYE6ymNlGa3bRY","2JSjCHK79gdaiPWdKiNUNp","I'll Never Fall in Love Again",1970,"Dionne Warwick","adult standards",816610,0.717,0.676,174840,0.339,9.77e-06,1,0.109,-13.805,1,136.882,4,0.756
"85","Winner","50t8gshcAtXiUdk7nHfYDp","7s2L0cftC6UBVVxADuyfwS","Games People Play",1968,"Joe South","bubblegum pop",10926,0.251,0.334,215160,0.714,4.26e-05,9,0.257,-8.379,1,172.288,4,0.595
"86","Nominee","1oht5GevPN9t1T3kG1m1GO","0vn7UBvSQECKJm2817Yf1P","Fire and Rain - 2019 Remaster",1970,"James Taylor","classic rock",2342887,0.766,0.597,203613,0.271,0.0119,5,0.0933,-17.293,1,76.271,4,0.338
